CÓDIGO,DENOMINAÇÃO ATIVIDADE,ATIVIDADE/ USO
01.51-2-01,Criação de bovinos para corte,Agropecuária
01.51-2-02,Criação de bovinos para leite,Agropecuária
01.51-2-03,"Criação de bovinos, exceto para corte e leite",Agropecuária
01.52-1-01,Criação de bufalinos,Agropecuária
01.52-1-02,Criação de equinos,Agropecuária
01.52-1-03,Criação de asininos e muares,Agropecuária
01.53-9-01,Criação de caprinos,Agropecuária
01.53-9-02,"Criação de ovinos, inclusive para produção de lã",Agropecuária
01.54-7-00,Criação de suínos,Agropecuária
01.55-5-01,Criação de frangos para corte,Agropecuária
01.55-5-02,Produção de pintos de um dia,Agropecuária
01.55-5-03,"Criação de outros galináceos, exceto para corte",Agropecuária
01.55-5-04,"Criação de aves, exceto galináceos",Agropecuária
01.55-5-05,Produção de ovos,Agropecuária
01.59-8-01,Apicultura,Agropecuária
01.59-8-02,Criação de animais de estimação,Agropecuária
01.59-8-03,Criação de escargô,Agropecuária
01.59-8-04,Criação de bicho-da-seda,Agropecuária
01.59-8-99,Criação de outros animais não especificados anteriormente,Agropecuária
01.61-0-01,Serviço de pulverização e controle de pragas agrícolas,Agropecuária
01.61-0-02,Serviço de poda de árvores para lavouras,Agropecuária
01.61-0-03,"Serviço de preparação de terreno, cultivo e colheita",Agropecuária
01.61-0-99,Atividades de apoio à agricultura não especificadas anteriormente,Agropecuária
01.62-8-01,Serviço de inseminação artificial em animais,Agropecuária
01.62-8-02,Serviço de tosquiamento de ovinos,Agropecuária
01.62-8-03,Serviço de manejo de animais,Agropecuária
01.62-8-99,Atividades de apoio à pecuária não especificadas anteriormente,Agropecuária
01.63-6-00,Atividades de pós-colheita,Agropecuária
01.70-9-00,Caça e serviços relacionados,Agropecuária
02.10-1-01,Cultivo de eucalipto,Agropecuária
02.10-1-02,Cultivo de acácia-negra,Agropecuária
02.10-1-03,Cultivo de pinus,Agropecuária
02.10-1-04,Cultivo de teca,Agropecuária
02.10-1-05,"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca",Agropecuária
02.10-1-06,Cultivo de mudas em viveiros florestais,Agropecuária
02.10-1-07,Extração de madeira em florestas plantadas,Agropecuária
02.10-1-08,Produção de carvão vegetal - florestas plantadas,Agropecuária
02.10-1-09,Produção de casca de acácia-negra - florestas plantadas,Agropecuária
02.10-1-99,Produção de produtos não madeireiros não especificados anteriormente em florestas plantadas,Agropecuária
02.20-9-01,Extração de madeira em florestas nativas,Agropecuária
02.20-9-02,Produção de carvão vegetal - florestas nativas,Agropecuária
02.20-9-03,Coleta de castanha-do-pará em florestas nativas,Agropecuária
02.20-9-04,Coleta de látex em florestas nativas,Agropecuária
02.20-9-05,Coleta de palmito em florestas nativas,Agropecuária
02.20-9-06,Conservação de florestas nativas,Agropecuária
02.20-9-99,Coleta de produtos não madeireiros não especificados anteriormente em florestas nativas,Agropecuária
02.30-6-00,Atividades de apoio à produção florestal,Agropecuária
03.11-6-01,Pesca de peixes em água salgada,Agropecuária
03.11-6-02,Pesca de crustáceos e moluscos em água salgada,Agropecuária
03.11-6-03,Coleta de outros produtos marinhos,Agropecuária
03.11-6-04,Atividades de apoio à pesca em água salgada,Agropecuária
03.12-4-01,Pesca de peixes em água doce,Agropecuária
03.12-4-02,Pesca de crustáceos e moluscos em água doce,Agropecuária
03.12-4-03,Coleta de outros produtos aquáticos de água doce,Agropecuária
03.12-4-04,Atividades de apoio à pesca em água doce,Agropecuária
03.21-3-01,Criação de peixes em água salgada e salobra,Agropecuária
03.21-3-02,Criação de camarões em água salgada e salobra,Agropecuária
03.21-3-03,Criação de ostras e mexilhões em água salgada e salobra,Agropecuária
03.21-3-04,Criação de peixes ornamentais em água salgada e salobra,Agropecuária
03.21-3-05,Atividades de apoio à aquicultura em água salgada e salobra,Agropecuária
03.21-3-99,Cultivos e semicultivos da aquicultura em água salgada e salobra não especificados anteriormente,Agropecuária
03.22-1-01,Criação de peixes em água doce,Agropecuária
03.22-1-02,Criação de camarões em água doce,Agropecuária
03.22-1-03,Criação de ostras e mexilhões em água doce,Agropecuária
03.22-1-04,Criação de peixes ornamentais em água doce,Agropecuária
03.22-1-05,Ranicultura,Agropecuária
03.22-1-06,Criação de jacaré,Agropecuária
03.22-1-07,Atividades de apoio à aquicultura em água doce,Agropecuária
03.22-1-99,Cultivos e semicultivos da aquicultura em água doce não especificados anteriormente,Agropecuária
05.00-3-01,Extração de carvão mineral,Industrial
05.00-3-02,Beneficiamento de carvão mineral,Industrial
06.00-0-01,Extração de petróleo e gás natural,Industrial
06.00-0-02,Extração e beneficiamento de xisto,Industrial
06.00-0-03,Extração e beneficiamento de areias betuminosas,Industrial
07.10-3-01,Extração de minério de ferro,Industrial
07.10-3-02,"Pelotização, sinterização e outros beneficiamentos de minério de ferro",Industrial
07.21-9-01,Extração de minério de alumínio,Industrial
07.21-9-02,Beneficiamento de minério de alumínio,Industrial
07.22-7-01,Extração de minério de estanho,Industrial
07.22-7-02,Beneficiamento de minério de estanho,Industrial
07.23-5-01,Extração de minério de manganês,Industrial
07.23-5-02,Beneficiamento de minério de manganês,Industrial
07.24-3-01,Extração de minério de metais preciosos,Industrial
07.24-3-02,Beneficiamento de minério de metais preciosos,Industrial
07.25-1-00,Extração de minerais radioativos,Industrial
07.29-4-01,Extração de minérios de nióbio e titânio,Industrial
07.29-4-02,Extração de minério de tungstênio,Industrial
07.29-4-03,Extração de minério de níquel,Industrial
07.29-4-04,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",Industrial
07.29-4-05,"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",Industrial
08.10-0-01,Extração de ardósia e beneficiamento associado,Industrial
08.10-0-02,Extração de granito e beneficiamento associado,Industrial
08.10-0-03,Extração de mármore e beneficiamento associado,Industrial
08.10-0-04,Extração de calcário e dolomita e beneficiamento associado,Industrial
08.10-0-05,Extração de gesso e caulim,Industrial
08.10-0-06,"Extração de areia, cascalho ou pedregulho e beneficiamento associado",Industrial
08.10-0-07,Extração de argila e beneficiamento associado,Industrial
08.10-0-08,Extração de saibro e beneficiamento associado,Industrial
08.10-0-09,Extração de bas e beneficiamento associado,Industrial
08.10-0-10,Beneficiamento de gesso e caulim associado à extração,Industrial
08.10-0-99,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,Industrial
08.91-6-00,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",Industrial
08.92-4-01,Extração de sal marinho,Industrial
08.92-4-02,Extração de sal-gema,Industrial
08.92-4-03,Refino e outros tratamentos do sal,Industrial
08.93-2-00,Extração de gemas (pedras preciosas e semipreciosas),Industrial
08.99-1-01,Extração de grafita,Industrial
08.99-1-02,Extração de quartzo,Industrial
08.99-1-03,Extração de amianto,Industrial
08.99-1-99,Extração de outros minerais não metálicos não especificados anteriormente,Industrial
09.10-6-00,Atividades de apoio à extração de petróleo e gás natural,Industrial
09.90-4-01,Atividades de apoio à extração de minério de ferro,Industrial
09.90-4-02,Atividades de apoio à extração de minerais metálicos não ferrosos,Industrial
09.90-4-03,Atividades de apoio à extração de minerais não metálicos,Industrial
10.11-2-01,Frigorífico - abate de bovinos,Agropecuária
10.11-2-02,Frigorífico - abate de equinos,Agropecuária
10.11-2-03,Frigorífico - abate de ovinos e caprinos,Agropecuária
10.11-2-04,Frigorífico - abate de bufalinos,Agropecuária
10.11-2-05,"Matadouro - abate de reses sob contrato, exceto abate de suínos",Agropecuária
10.12-1-01,Abate de aves,Agropecuária
10.12-1-02,Abate de pequenos animais,Agropecuária
10.12-1-03,Frigorífico - abate de suínos,Industrial
10.12-1-04,Matadouro - abate de suínos sob contrato,Industrial
10.13-9-01,Fabricação de produtos de carne,Industrial
10.13-9-02,Preparação de subprodutos do abate,Industrial
10.20-1-01,"Preservação de peixes, crustáceos e moluscos",Agropecuária
10.20-1-02,"Fabricação de conservas de peixes, crustáceos e moluscos",Industrial
10.31-7-00,Fabricação de conservas de frutas,Industrial
10.32-5-01,Fabricação de conservas de palmito,Industrial
10.32-5-99,"Fabricação de conservas de legumes e outros vegetais, exceto palmito",Industrial
10.33-3-01,"Fabricação de sucos concentrados de frutas, hortaliças e legumes",Industrial
10.33-3-02,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",Industrial
10.41-4-00,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",Industrial
10.42-2-00,"Fabricação de óleos vegetais refinados, exceto óleo de milho",Industrial
10.43-1-00,Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais,Industrial
10.51-1-00,Preparação do leite,Industrial
10.52-0-00,Fabricação de laticínios,Industrial
10.53-8-00,Fabricação de sorvetes e outros gelados comestíveis,Industrial
10.61-9-01,Beneficiamento de arroz,Industrial
10.61-9-02,Fabricação de produtos do arroz,Industrial
10.62-7-00,Moagem de trigo e fabricação de derivados,Industrial
10.63-5-00,Fabricação de farinha de mandioca e derivados,Industrial
10.64-3-00,"Fabricação de farinha de milho e derivados, exceto óleos de milho",Industrial
10.65-1-01,Fabricação de amidos e féculas de vegetais,Industrial
10.65-1-02,Fabricação de óleo de milho em bruto,Industrial
10.65-1-03,Fabricação de óleo de milho refinado,Industrial
10.66-0-00,Fabricação de alimentos para animais,Industrial
10.69-4-00,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,Industrial
10.71-6-00,Fabricação de açúcar em bruto,Industrial
10.72-4-01,Fabricação de açúcar de cana refinado,Industrial
10.72-4-02,Fabricação de açúcar de cereais (dextrose) e de beterraba,Industrial
10.81-3-01,Beneficiamento de café,Industrial
10.81-3-02,Torrefação e moagem de café,Industrial
10.82-1-00,Fabricação de produtos à base de café,Industrial
10.91-1-01,Fabricação de produtos de panificação industrial,Industrial
10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industrial
10.92-9-00,Fabricação de biscoitos e bolachas,Industrial
10.93-7-01,Fabricação de produtos derivados do cacau e de chocolates,Industrial
10.93-7-02,"Fabricação de frutas cristalizadas, balas e semelhantes",Industrial
10.94-5-00,Fabricação de massas alimentícias,Industrial
10.95-3-00,"Fabricação de especiarias, molhos, temperos e condimentos",Industrial
10.96-1-00,Fabricação de alimentos e pratos prontos,Industrial
10.99-6-01,Fabricação de vinagres,Industrial
10.99-6-02,Fabricação de pós-alimentícios,Industrial
10.99-6-03,Fabricação de fermentos e leveduras,Industrial
10.99-6-04,Fabricação de gelo comum,Industrial
10.99-6-05,"Fabricação de produtos para infusão (chá, mate, etc.)",Industrial
10.99-6-06,Fabricação de adoçantes naturais e artificiais,Industrial
10.99-6-07,Fabricação de alimentos dietéticos e complementos alimentares,Industrial
10.99-6-99,Fabricação de outros produtos alimentícios não especificados anteriormente,Industrial
11.11-9-01,Fabricação de aguardente de cana-de-açúcar,Industrial
11.11-9-02,Fabricação de outras aguardentes e bebidas destiladas,Industrial
11.12-7-00,Fabricação de vinho,Industrial
11.13-5-01,"Fabricação de malte, inclusive malte uísque",Industrial
11.13-5-02,Fabricação de cervejas e chopes,Industrial
11.21-6-00,Fabricação de águas envasadas,Industrial
11.22-4-01,Fabricação de refrigerantes,Industrial
11.22-4-02,Fabricação de chá mate e outros chás prontos para consumo,Industrial
11.22-4-03,"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas",Industrial
11.22-4-04,Fabricação de bebidas isotônicas,Industrial
11.22-4-99,Fabricação de outras bebidas não alcoólicas não especificadas anteriormente,Industrial
12.10-7-00,Processamento industrial do fumo,Industrial
12.20-4-01,Fabricação de cigarros,Industrial
12.20-4-02,Fabricação de cigarrilhas e charutos,Industrial
12.20-4-03,Fabricação de filtros para cigarros,Industrial
12.20-4-99,"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos",Industrial
13.11-1-00,Preparação e fiação de fibras de algodão,Industrial
13.12-0-00,"Preparação e fiação de fibras têxteis naturais, exceto algodão",Industrial
13.13-8-00,Fiação de fibras artificiais e sintéticas,Industrial
13.14-6-00,Fabricação de linhas para costurar e bordar,Industrial
13.21-9-00,Tecelagem de fios de algodão,Industrial
13.22-7-00,"Tecelagem de fios de fibras têxteis naturais, exceto algodão",Industrial
13.23-5-00,Tecelagem de fios de fibras artificiais e sintéticas,Industrial
13.30-8-00,Fabricação de tecidos de malha,Industrial
13.40-5-01,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário",Industrial
13.40-5-02,"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário",Industrial
13.40-5-99,"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário",Industrial
13.51-1-00,Fabricação de artefatos têxteis para uso doméstico,Industrial
13.52-9-00,Fabricação de artefatos de tapeçaria,Industrial
13.53-7-00,Fabricação de artefatos de cordoaria,Industrial
13.54-5-00,"Fabricação de tecidos especiais, inclusive artefatos",Industrial
13.59-6-00,Fabricação de outros produtos têxteis não especificados anteriormente,Industrial
14.11-8-01,Confecção de roupas íntimas,Industrial
14.11-8-02,Facção de roupas íntimas,Industrial
14.12-6-01,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",Industrial
14.12-6-02,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",Industrial
14.12-6-03,"Facção de peças do vestuário, exceto roupas íntimas",Industrial
14.13-4-01,"Confecção de roupas profissionais, exceto sob medida",Industrial
14.13-4-02,"Confecção, sob medida, de roupas profissionais",Industrial
14.13-4-03,Facção de roupas profissionais,Industrial
14.14-2-00,"Fabricação de acessórios do vestuário, exceto para segurança e proteção",Industrial
14.21-5-00,Fabricação de meias,Industrial
14.22-3-00,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",Industrial
15.10-6-00,Curtimento e outras preparações de couro,Industrial
15.21-1-00,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",Industrial
15.29-7-00,Fabricação de artefatos de couro não especificados anteriormente,Industrial
15.31-9-01,Fabricação de calçados de couro,Industrial
15.31-9-02,Acabamento de calçados de couro sob contrato,Industrial
15.32-7-00,Fabricação de tênis de qualquer material,Industrial
15.33-5-00,Fabricação de calçados de material sintético,Industrial
15.39-4-00,Fabricação de calçados de materiais não especificados anteriormente,Industrial
15.40-8-00,"Fabricação de partes para calçados, de qualquer material",Industrial
16.10-2-03,Serrarias com desdobramento de madeira em bruto,Industrial
16.10-2-04,Serrarias sem desdobramento de madeira em bruto - Resseragem,Industrial
16.10-2-05,Serviço de tratamento de madeira realizado sob contrato,Industrial
16.21-8-00,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",Industrial
16.22-6-01,Fabricação de casas de madeira pré-fabricadas,Industrial
16.22-6-02,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,Industrial
16.22-6-99,Fabricação de outros artigos de carpintaria para construção,Industrial
16.23-4-00,Fabricação de artefatos de tanoaria e de embalagens de madeira,Industrial
16.29-3-01,"Fabricação de artefatos diversos de madeira, exceto móveis",Industrial
16.29-3-02,"Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis",Industrial
17.10-9-00,Fabricação de celulose e outras pastas para a fabricação de papel,Industrial
17.21-4-00,Fabricação de papel,Industrial
17.22-2-00,Fabricação de cartolina e papel-cartão,Industrial
17.31-1-00,Fabricação de embalagens de papel,Industrial
17.32-0-00,Fabricação de embalagens de cartolina e papel-cartão,Industrial
17.33-8-00,Fabricação de chapas e de embalagens de papelão ondulado,Industrial
17.41-9-01,Fabricação de formulários contínuos,Industrial
17.41-9-02,"Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório",Industrial
17.42-7-01,Fabricação de fraldas descartáveis,Industrial
17.42-7-02,Fabricação de absorventes higiênicos,Industrial
17.42-7-99,Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente,Industrial
17.49-4-00,"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente",Industrial
18.11-3-01,Impressão de jornais,Comércio e serviços
18.11-3-02,"Impressão de livros, revistas e outras publicações periódicas",Comércio e serviços
18.12-1-00,Impressão de material de segurança,Comércio e serviços
18.13-0-01,Impressão de material para uso publicitário,Comércio e serviços
18.13-0-99,Impressão de material para outros usos,Comércio e serviços
18.21-1-00,Serviços de pré-impressão,Comércio e serviços
18.22-9-01,Serviços de encadernação e plastificação,Comércio e serviços
18.22-9-99,"Serviços de acabamentos gráficos, exceto encadernação e plastificação",Comércio e serviços
18.30-0-01,Reprodução de som em qualquer suporte,Comércio e serviços
18.30-0-02,Reprodução de vídeo em qualquer suporte,Comércio e serviços
18.30-0-03,Reprodução de software em qualquer suporte,Comércio e serviços
19.10-1-00,Coquerias,Industrial
19.21-7-00,Fabricação de produtos do refino de petróleo,Industrial
19.22-5-01,Formulação de combustíveis,Industrial
19.22-5-02,Rerrefino de óleos lubrificantes,Industrial
19.22-5-99,"Fabricação de outros produtos derivados do petróleo, exceto produtos do refino",Industrial
19.31-4-00,Fabricação de álcool,Industrial
19.32-2-00,"Fabricação de biocombustíveis, exceto álcool",Industrial
20.11-8-00,Fabricação de cloro e álcalis,Industrial
20.12-6-00,Fabricação de intermediários para fertilizantes,Industrial
20.13-4-01,Fabricação de adubos e fertilizantes organo-minerais,Industrial
20.13-4-02,"Fabricação de adubos e fertilizantes, exceto organo-minerais",Industrial
20.14-2-00,Fabricação de gases industriais,Industrial
20.19-3-01,Elaboração de combustíveis nucleares,Industrial
20.19-3-99,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,Industrial
20.21-5-00,Fabricação de produtos petroquímicos básicos,Industrial
20.22-3-00,"Fabricação de intermediários para plastificantes, resinas e fibras",Industrial
20.29-1-00,Fabricação de produtos químicos orgânicos não especificados anteriormente,Industrial
20.31-2-00,Fabricação de resinas termoplásticas,Industrial
20.32-1-00,Fabricação de resinas termofixas,Industrial
20.33-9-00,Fabricação de elastômeros,Industrial
20.40-1-00,Fabricação de fibras artificiais e sintéticas,Industrial
20.51-7-00,Fabricação de defensivos agrícolas,Industrial
20.52-5-00,Fabricação de desinfestantes domissanitários,Industrial
20.61-4-00,Fabricação de sabões e detergentes sintéticos,Industrial
20.62-2-00,Fabricação de produtos de limpeza e polimento,Industrial
20.63-1-00,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",Industrial
20.71-1-00,"Fabricação de tintas, vernizes, esmaltes e lacas",Industrial
20.72-0-00,Fabricação de tintas de impressão,Industrial
20.73-8-00,"Fabricação de impermeabilizantes, solventes e produtos afins",Industrial
20.91-6-00,Fabricação de adesivos e selantes,Industrial
20.92-4-01,"Fabricação de pólvoras, explosivos e detonantes",Industrial
20.92-4-02,Fabricação de artigos pirotécnicos,Industrial
20.92-4-03,Fabricação de fósforos de segurança,Industrial
20.93-2-00,Fabricação de aditivos de uso industrial,Industrial
20.94-1-00,Fabricação de catalisadores,Industrial
20.99-1-01,"Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia",Industrial
20.99-1-99,Fabricação de outros produtos químicos não especificados anteriormente,Industrial
21.10-6-00,Fabricação de produtos farmoquímicos,Industrial
21.21-1-01,Fabricação de medicamentos alopáticos para uso humano,Industrial
21.21-1-02,Fabricação de medicamentos homeopáticos para uso humano,Industrial
21.21-1-03,Fabricação de medicamentos fitoterápicos para uso humano,Industrial
21.22-0-00,Fabricação de medicamentos para uso veterinário,Industrial
21.23-8-00,Fabricação de preparações farmacêuticas,Industrial
22.11-1-00,Fabricação de pneumáticos e de câmaras-de-ar,Industrial
22.12-9-00,Reforma de pneumáticos usados,Comércio e serviços
22.19-6-00,Fabricação de artefatos de borracha não especificados anteriormente,Industrial
22.21-8-00,Fabricação de laminados planos e tubulares de material plástico,Industrial
22.22-6-00,Fabricação de embalagens de material plástico,Industrial
22.23-4-00,Fabricação de tubos e acessórios de material plástico para uso na construção,Industrial
22.29-3-01,Fabricação de artefatos de material plástico para uso pessoal e doméstico,Industrial
22.29-3-02,Fabricação de artefatos de material plástico para usos industriais,Industrial
22.29-3-03,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios",Industrial
22.29-3-99,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,Industrial
23.11-7-00,Fabricação de vidro plano e de segurança,Industrial
23.12-5-00,Fabricação de embalagens de vidro,Industrial
23.19-2-00,Fabricação de artigos de vidro,Industrial
23.20-6-00,Fabricação de cimento,Industrial
23.30-3-01,"Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda",Industrial
23.30-3-02,Fabricação de artefatos de cimento para uso na construção,Industrial
23.30-3-03,Fabricação de artefatos de fibrocimento para uso na construção,Industrial
23.30-3-04,Fabricação de casas pré-moldadas de concreto,Industrial
23.30-3-05,Preparação de massa de concreto e argamassa para construção,Comércio e serviços
23.30-3-99,"Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",Industrial
23.41-9-00,Fabricação de produtos cerâmicos refratários,Industrial
23.42-7-01,Fabricação de azulejos e pisos,Industrial
23.42-7-02,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",Industrial
23.49-4-01,Fabricação de material sanitário de cerâmica,Industrial
23.49-4-99,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,Industrial
23.91-5-01,"Britamento de pedras, exceto associado à extração",Industrial
23.91-5-02,"Aparelhamento de pedras para construção, exceto associado à extração",Industrial
23.91-5-03,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",Comércio e serviços
23.92-3-00,Fabricação de cal e gesso,Industrial
23.99-1-01,"Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal",Comércio e serviços
23.99-1-02,Fabricação de abrasivos,Industrial
23.99-1-99,Fabricação de outros produtos de minerais não metálicos não especificados anteriormente,Industrial
24.11-3-00,Produção de ferro-gusa,Industrial
24.12-1-00,Produção de ferroligas,Industrial
24.21-1-00,Produção de semiacabados de aço,Industrial
24.22-9-01,"Produção de laminados planos de aço ao carbono, revestidos ou não",Industrial
24.22-9-02,Produção de laminados planos de aços especiais,Industrial
24.23-7-01,Produção de tubos de aço sem costura,Industrial
24.23-7-02,"Produção de laminados longos de aço, exceto tubos",Industrial
24.24-5-01,Produção de arames de aço,Industrial
24.24-5-02,"Produção de relaminados, trefilados e perfilados de aço, exceto arames",Industrial
24.31-8-00,Produção de tubos de aço com costura,Industrial
24.39-3-00,Produção de outros tubos de ferro e aço,Industrial
24.41-5-01,Produção de alumínio e suas ligas em formas primárias,Industrial
24.41-5-02,Produção de laminados de alumínio,Industrial
24.42-3-00,Metalurgia dos metais preciosos,Industrial
24.43-1-00,Metalurgia do cobre,Industrial
24.49-1-01,Produção de zinco em formas primárias,Industrial
24.49-1-02,Produção de laminados de zinco,Industrial
24.49-1-03,Fabricação de ânodos para galvanoplastia,Industrial
24.49-1-99,Metalurgia de outros metais não ferrosos e suas ligas não especificados anteriormente,Industrial
24.51-2-00,Fundição de ferro e aço,Industrial
24.52-1-00,Fundição de metais não ferrosos e suas ligas,Industrial
25.11-0-00,Fabricação de estruturas metálicas,Industrial
25.12-8-00,Fabricação de esquadrias de metal,Industrial
25.13-6-00,Fabricação de obras de caldeiraria pesada,Industrial
25.21-7-00,"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central",Industrial
25.22-5-00,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",Industrial
25.31-4-01,Produção de forjados de aço,Industrial
25.31-4-02,Produção de forjados de metais não ferrosos e suas ligas,Industrial
25.32-2-01,Produção de artefatos estampados de metal,Industrial
25.32-2-02,Metalurgia do pó,Industrial
25.39-0-01,"Serviços de usinagem, torneiria e solda",Industrial
25.39-0-02,Serviços de tratamento e revestimento em metais,Industrial
25.41-1-00,Fabricação de artigos de cutelaria,Industrial
25.42-0-00,"Fabricação de artigos de serralheria, exceto esquadrias",Industrial
25.43-8-00,Fabricação de ferramentas,Industrial
25.50-1-01,"Fabricação de equipamento bélico pesado, exceto veículos militares de combate",Industrial
25.50-1-02,"Fabricação de armas de fogo, outras armas e munições",Industrial
25.91-8-00,Fabricação de embalagens metálicas,Industrial
25.92-6-01,Fabricação de produtos de trefilados de metal padronizados,Industrial
25.92-6-02,"Fabricação de produtos de trefilados de metal, exceto padronizados",Industrial
25.93-4-00,Fabricação de artigos de metal para uso doméstico e pessoal,Industrial
